yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q96A78_HUMAN,TBL3_HUMAN	Q12788	TBL3_HUMAN	reviewed	Transducin beta-like protein 3 (WD repeat-containing protein SAZD)	TBL3 SAZD	Homo sapiens (Human)	808
1433T_HUMAN	P27348	1433T_HUMAN	reviewed	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
3BP2_HUMAN	P78314	3BP2_HUMAN	reviewed	SH3 domain-binding protein 2 (3BP-2)	SH3BP2 3BP2 RES4-23	Homo sapiens (Human)	561
CDN1B_HUMAN	P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	Homo sapiens (Human)	198
FRAP_HUMAN	P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
FSHR_HUMAN	P23945	FSHR_HUMAN	reviewed	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR LGR1	Homo sapiens (Human)	695
PFTK1_HUMAN	O94921	CDK14_HUMAN	reviewed	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	CDK14 KIAA0834 PFTK1	Homo sapiens (Human)	469
PK3CB_HUMAN	P42338	PK3CB_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PIK3CB PIK3C1	Homo sapiens (Human)	1070
RGS7_HUMAN	P49802	RGS7_HUMAN	reviewed	Regulator of G-protein signaling 7 (RGS7)	RGS7	Homo sapiens (Human)	495
TERT_HUMAN	O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
1433Z_HUMAN	P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
ADA22_HUMAN	Q9P0K1	ADA22_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2	Homo sapiens (Human)	906
BCAR1_HUMAN	P56945	BCAR1_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)	870
CDC5L_HUMAN	Q99459	CDC5L_HUMAN	reviewed	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
COF1_HUMAN	P23528	COF1_HUMAN	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	166
CV009_HUMAN	Q6ICG6	K0930_HUMAN	reviewed	Uncharacterized protein KIAA0930	KIAA0930 C22orf9	Homo sapiens (Human)	404
EGFR_HUMAN	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
GABR1_HUMAN	Q9UBS5	GABR1_HUMAN	reviewed	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	GABBR1 GPRC3A	Homo sapiens (Human)	961
HS90A_HUMAN	P07900	HS90A_HUMAN	reviewed	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732
IL9R_HUMAN	Q01113	IL9R_HUMAN	reviewed	Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129)	IL9R	Homo sapiens (Human)	521
K1377_HUMAN	Q9P2H0	CE126_HUMAN	reviewed	Centrosomal protein of 126 kDa	CEP126 KIAA1377	Homo sapiens (Human)	1117
KAPCA_HUMAN	P17612	KAPCA_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	Homo sapiens (Human)	351
KPCA_HUMAN	P17252	KPCA_HUMAN	reviewed	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	PRKCA PKCA PRKACA	Homo sapiens (Human)	672
KPCD_HUMAN	Q05655	KPCD_HUMAN	reviewed	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD	Homo sapiens (Human)	676
LIMK1_HUMAN	P53667	LIMK1_HUMAN	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	647
M3K5_HUMAN	Q99683	M3K5_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	MAP3K5 ASK1 MAPKKK5 MEKK5	Homo sapiens (Human)	1374
MARK2_HUMAN	Q7KZI7	MARK2_HUMAN	reviewed	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	788
P53_HUMAN	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
PCTK1_HUMAN	Q00536	CDK16_HUMAN	reviewed	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	CDK16 PCTAIRE1 PCTK1	Homo sapiens (Human)	496
PP1G_HUMAN	P36873	PP1G_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	Homo sapiens (Human)	323
PTN13_HUMAN	Q12923	PTN13_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1)	PTPN13 PNP1 PTP1E PTPL1	Homo sapiens (Human)	2485
KU70_HUMAN,Q6FG89_HUMAN	P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609
REM1_HUMAN	O75628	REM1_HUMAN	reviewed	GTP-binding protein REM 1 (GTPase-regulating endothelial cell sprouting) (Rad and Gem-like GTP-binding protein 1)	REM1 GES REM	Homo sapiens (Human)	298
SNAT_HUMAN	Q16613	SNAT_HUMAN	reviewed	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	AANAT SNAT	Homo sapiens (Human)	207
STK25_HUMAN	O00506	STK25_HUMAN	reviewed	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	Homo sapiens (Human)	426
TISB_HUMAN	Q07352	TISB_HUMAN	reviewed	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	Homo sapiens (Human)	338
TLK2_HUMAN	Q86UE8	TLK2_HUMAN	reviewed	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2	Homo sapiens (Human)	772
VIME_HUMAN	P08670	VIME_HUMAN	reviewed	Vimentin	VIM	Homo sapiens (Human)	466
B2MG_HUMAN	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
1A02_HUMAN,1A68_HUMAN	P04439	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365
BAP31_HUMAN	P51572	BAP31_HUMAN	reviewed	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28)	BCAP31 BAP31 DXS1357E	Homo sapiens (Human)	246
CALR_HUMAN	P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417
CD20_HUMAN	P11836	CD20_HUMAN	reviewed	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)	MS4A1 CD20	Homo sapiens (Human)	297
KI3L2_HUMAN	P43630	KI3L2_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (MHC class I NK cell receptor) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)	KIR3DL2 CD158K NKAT4	Homo sapiens (Human)	455
PDIA3_HUMAN	P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
TPSN_HUMAN	O15533	TPSN_HUMAN	reviewed	Tapasin (TPN) (TPSN) (NGS-17) (TAP-associated protein) (TAP-binding protein)	TAPBP NGS17 TAPA	Homo sapiens (Human)	448
UBIQ_HUMAN	P0CG47	UBB_HUMAN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Homo sapiens (Human)	229
UBIQ_HUMAN	P0CG69	UBIQP_DROME	reviewed	Polyubiquitin [Cleaved into: Ubiquitin]	Ubi-p63E Ubi-m CG11624	Drosophila melanogaster (Fruit fly)	763
UBIQ_HUMAN	P0CG68	UBC_PIG	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin-related; Ubiquitin]	UBC	Sus scrofa (Pig)	533
UBIQ_HUMAN	P0CG62	UBB_CHICK	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Gallus gallus (Chicken)	305
UBIQ_HUMAN	P18101	RL40_DROME	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128
UBIQ_HUMAN	P0CH28	UBC_BOVIN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin-related; Ubiquitin]	UBC	Bos taurus (Bovine)	690
UBIQ_HUMAN	P0CG49	UBB_MOUSE	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	Ubb	Mus musculus (Mouse)	305
UBIQ_HUMAN	P0CG48	UBC_HUMAN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
UBIQ_HUMAN	P62992	RS27A_BOVIN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80 UBCEP1	Bos taurus (Bovine)	156
UBIQ_HUMAN	P63048	RL40_BOVIN	reviewed	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	UBA52 UBCEP2	Bos taurus (Bovine)	128
UBIQ_HUMAN	P0CG50	UBC_MOUSE	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin; Ubiquitin-related 1; Ubiquitin-related 2]	Ubc	Mus musculus (Mouse)	734
UBIQ_HUMAN	P62976	UBIQP_CRIGR	reviewed	Polyubiquitin [Cleaved into: Ubiquitin; Ubiquitin-related 1; Ubiquitin-related 2]		Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	658
UBIQ_HUMAN	P62978	RS27A_CAVPO	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80 UBCEP1 UBIZ	Cavia porcellus (Guinea pig)	156
UBIQ_HUMAN	P79781	RS27A_CHICK	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80	Gallus gallus (Chicken)	156
UBIQ_HUMAN	P62972	UBIQP_XENLA	reviewed	Polyubiquitin [Cleaved into: Ubiquitin] (Fragment)		Xenopus laevis (African clawed frog)	167
UBIQ_HUMAN	P29504	RS27A_MANSE	reviewed	Ubiquitin-40S ribosomal protein S27a [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	155
UBIQ_HUMAN	P62975	UBIQ_RABIT	reviewed	Ubiquitin		Oryctolagus cuniculus (Rabbit)	76
UBIQ_HUMAN	P0CG54	UBB_CAVPO	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB UBIY	Cavia porcellus (Guinea pig)	311
UBIQ_HUMAN	P0CG53	UBB_BOVIN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Bos taurus (Bovine)	305
UBIQ_HUMAN	P0CG51	UBB_RAT	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	Ubb	Rattus norvegicus (Rat)	305
UBIQ_HUMAN	P68197	UBIQ_CERCA	reviewed	Ubiquitin		Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata)	76
UBIQ_HUMAN	P15357	RS27A_DROME	reviewed	Ubiquitin-40S ribosomal protein S27a [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RpS27A UB3-D UBI-F80 Ubi-m CG5271	Drosophila melanogaster (Fruit fly)	156
UBIQ_HUMAN	P62982	RS27A_RAT	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	Rps27a Uba80 Ubcep1	Rattus norvegicus (Rat)	156
UBIQ_HUMAN	P63053	RL40_PIG	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	UBA52 UBCEP2	Sus scrofa (Pig)	128
UBIQ_HUMAN	P68203	RS27A_SPOFR	reviewed	Ubiquitin-40S ribosomal protein S27a [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]		Spodoptera frugiperda (Fall armyworm)	156
UBIQ_HUMAN	P62983	RS27A_MOUSE	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	Rps27a Uba80 Ubcep1	Mus musculus (Mouse)	156
UBIQ_HUMAN	P62984	RL40_MOUSE	reviewed	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	Uba52 Ubcep2	Mus musculus (Mouse)	128
UBIQ_HUMAN	P62985	RL40_CHICK	reviewed	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)] (Fragment)	UBA52 UBCEP2	Gallus gallus (Chicken)	69
UBIQ_HUMAN	P62986	RL40_RAT	reviewed	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	Uba52 Ubcep2	Rattus norvegicus (Rat)	128
KI3L1_HUMAN	P43629	KI3L1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e)	KIR3DL1 CD158E NKAT3 NKB1	Homo sapiens (Human)	444
KI3S1_HUMAN	Q14943	KI3S1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DS1 (MHC class I NK cell receptor) (Natural killer-associated transcript 10) (NKAT-10)	KIR3DS1 NKAT10	Homo sapiens (Human)	382
KLRD1_HUMAN	Q13241	KLRD1_HUMAN	reviewed	Natural killer cells antigen CD94 (KP43) (Killer cell lectin-like receptor subfamily D member 1) (NK cell receptor) (CD antigen CD94)	KLRD1 CD94	Homo sapiens (Human)	179
NKG2D_HUMAN	P26718	NKG2D_HUMAN	reviewed	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	KLRK1 D12S2489E NKG2D	Homo sapiens (Human)	216
NKG2F_HUMAN	O43908	NKG2F_HUMAN	reviewed	NKG2-F type II integral membrane protein (NK cell receptor F) (NKG2-F-activating NK receptor)	KLRC4 NKG2F	Homo sapiens (Human)	158
1C04_HUMAN,1C17_HUMAN	P10321	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366
KI2S1_HUMAN	Q14954	KI2S1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS1 (CD158 antigen-like family member H) (MHC class I NK cell receptor Eb6 ActI) (CD antigen CD158h)	KIR2DS1 CD158H	Homo sapiens (Human)	304
KI2S2_HUMAN	P43631	KI2S2_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS2 (CD158 antigen-like family member J) (MHC class I NK cell receptor) (NK receptor 183 ActI) (Natural killer-associated transcript 5) (NKAT-5) (p58 natural killer cell receptor clone CL-49) (p58 NK receptor CL-49) (CD antigen CD158j)	KIR2DS2 CD158J NKAT5	Homo sapiens (Human)	304
KI2S4_HUMAN	P43632	KI2S4_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS4 (CD158 antigen-like family member I) (MHC class I NK cell receptor) (Natural killer-associated transcript 8) (NKAT-8) (P58 natural killer cell receptor clones CL-39/CL-17) (p58 NK receptor CL-39/CL-17) (CD antigen CD158i)	KIR2DS4 CD158I KKA3 NKAT8	Homo sapiens (Human)	304
TAP2_HUMAN	Q03519	TAP2_HUMAN	reviewed	Antigen peptide transporter 2 (APT2) (ATP-binding cassette sub-family B member 3) (Peptide supply factor 2) (Peptide transporter PSF2) (PSF-2) (Peptide transporter TAP2) (Peptide transporter involved in antigen processing 2) (Really interesting new gene 11 protein)	TAP2 ABCB3 PSF2 RING11 Y1	Homo sapiens (Human)	686
2A5A_HUMAN	Q15172	2A5A_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)	PPP2R5A	Homo sapiens (Human)	486
2A5D_HUMAN	Q14738	2A5D_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)	PPP2R5D	Homo sapiens (Human)	602
SGOL1_HUMAN	Q5FBB7	SGO1_HUMAN	reviewed	Shugoshin 1 (Serologically defined breast cancer antigen NY-BR-85) (Shugoshin-like 1)	SGO1 SGOL1	Homo sapiens (Human)	561
SGOL2_HUMAN	Q562F6	SGO2_HUMAN	reviewed	Shugoshin 2 (Shugoshin-2) (Shugoshin-like 2) (Tripin)	SGO2 SGOL2	Homo sapiens (Human)	1265
2A5B_HUMAN	Q15173	2A5B_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	PPP2R5B	Homo sapiens (Human)	497
CHK2_HUMAN	O96017	CHK2_HUMAN	reviewed	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	CHEK2 CDS1 CHK2 RAD53	Homo sapiens (Human)	543
HAND1_HUMAN	O96004	HAND1_HUMAN	reviewed	Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)	HAND1 BHLHA27 EHAND	Homo sapiens (Human)	215
HAND2_HUMAN	P61296	HAND2_HUMAN	reviewed	Heart- and neural crest derivatives-expressed protein 2 (Class A basic helix-loop-helix protein 26) (bHLHa26) (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND)	HAND2 BHLHA26 DHAND	Homo sapiens (Human)	217
LIPA1_HUMAN	Q13136	LIPA1_HUMAN	reviewed	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	Homo sapiens (Human)	1202
2A5E_HUMAN	Q16537	2A5E_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	PPP2R5E	Homo sapiens (Human)	467
2A5G_HUMAN	Q13362	2A5G_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29)	PPP2R5C KIAA0044	Homo sapiens (Human)	524
PP2AA_HUMAN	P67775	PP2AA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
ARI2_HUMAN	O95376	ARI2_HUMAN	reviewed	E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (RING-type E3 ubiquitin transferase ARIH2) (Triad1 protein)	ARIH2 ARI2 TRIAD1 HT005	Homo sapiens (Human)	493
HRSL3_HUMAN	P53816	PLAT3_HUMAN	reviewed	Phospholipase A and acyltransferase 3 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3) (HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	PLAAT3 HRASLS3 HREV107 PLA2G16	Homo sapiens (Human)	162
IPO9_HUMAN	Q96P70	IPO9_HUMAN	reviewed	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	Homo sapiens (Human)	1041
SC6A2_HUMAN	P23975	SC6A2_HUMAN	reviewed	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2 NAT1 NET1 SLC6A5	Homo sapiens (Human)	617
2AAB_HUMAN	P30154	2AAB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)	PPP2R1B	Homo sapiens (Human)	601
2ABA_HUMAN	P63151	2ABA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447
NMDZ1_HUMAN	Q05586	NMDZ1_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	GRIN1 NMDAR1	Homo sapiens (Human)	938
2ABB_HUMAN	Q00005	2ABB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta)	PPP2R2B	Homo sapiens (Human)	443
NMD3A_HUMAN	Q8TCU5	NMD3A_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)	GRIN3A KIAA1973	Homo sapiens (Human)	1115
